,name,rounds,scoring_avg,avg_drive,fwy%,gir%,sg_putt,sg_t2g,sg_tot,top_10,wins,year,money,points
1810,Rod Pampling,54.0,71.607,287.7,63.95,64.0,-0.475,0.049,-0.426,0,0,2016,142433,122
1811,Rory McIlroy,69.0,69.646,306.8,61.06,69.62,-0.207,1.888,1.681,8,2,2016,5790585,3120
1812,Rory Sabbatini,57.0,72.451,287.6,62.18,64.3,-0.945,-0.459,-1.403,0,0,2016,150236,143
1813,Russell Henley,76.0,70.558,295.6,63.15,68.27,0.193,0.366,0.56,4,0,2016,1228347,726
1814,Russell Knox,92.0,70.319,285.8,68.51,69.73,-0.054,0.56,0.506,4,2,2016,4885906,992
1815,Ryan Moore,86.0,70.317,283.2,66.52,65.78,0.351,0.544,0.895,9,1,2016,3701034,1336
1816,Ryan Palmer,86.0,70.229,304.7,57.88,67.83,-0.094,0.868,0.774,3,0,2016,1794141,1545
1817,Sam Saunders,69.0,71.427,291.8,59.78,64.36,0.06,-0.293,-0.232,2,0,2016,510079,324
1818,Scott Brown,88.0,71.098,292.5,63.65,65.03,0.018,0.125,0.143,4,0,2016,1143452,781
1819,Scott Langley,65.0,71.796,285.7,64.81,63.93,0.045,-0.639,-0.594,0,0,2016,380025,266
1820,Scott Piercy,87.0,70.855,297.9,59.41,67.33,-0.286,0.478,0.192,3,0,2016,2905349,1497
1821,Scott Pinckney,87.0,71.524,296.8,63.05,69.02,-0.063,-0.262,-0.325,0,0,2016,332533,258
1822,Scott Stallings,74.0,70.966,295.5,56.95,66.11,-0.291,0.449,0.158,1,0,2016,697434,443
1823,Sean O'Hair,89.0,70.677,302.2,58.84,67.17,0.208,0.163,0.371,2,0,2016,1702713,416
1824,Sergio Garcia,54.0,69.999,299.9,61.76,70.15,-0.388,1.189,0.801,4,1,2016,3242156,1566
1825,Seung-Yul Noh,85.0,71.061,295.3,49.12,64.54,0.176,-0.149,0.026,1,0,2016,661711,454
1826,Shane Lowry,57.0,70.64,298.7,61.85,64.51,0.06,0.491,0.551,2,0,2016,1585436,615
1827,Shawn Stefani,91.0,71.287,292.1,58.4,66.48,-0.336,0.191,-0.144,1,0,2016,698102,481
1828,Si Woo Kim,113.0,70.56,293.5,62.84,64.83,-0.109,0.608,0.499,5,1,2016,3086369,534
1829,Smylie Kaufman,91.0,71.015,299.0,52.91,66.29,0.134,0.188,0.322,4,1,2016,2508174,1409
1830,Spencer Levin,104.0,70.927,281.3,67.79,66.33,0.008,0.23,0.238,2,0,2016,1179882,690
1831,Steve Marino,72.0,71.467,292.0,58.46,66.01,0.045,-0.503,-0.458,2,0,2016,768200,429
1832,Steve Stricker,53.0,69.996,278.0,63.23,63.0,0.62,0.101,0.721,3,0,2016,1418647,815
1833,Steve Wheatcroft,85.0,71.429,286.2,60.32,61.93,0.153,-0.375,-0.221,2,0,2016,601164,400
1834,Steven Bowditch,71.0,74.262,288.9,43.02,54.46,0.131,-3.34,-3.209,1,0,2016,458891,192
1835,Stewart Cink,61.0,70.846,296.9,58.4,70.4,-0.398,0.459,0.062,0,0,2016,437855,331
1836,Stuart Appleby,71.0,70.95,282.7,62.24,61.43,0.202,-0.025,0.176,0,0,2016,500214,360
1837,Sung Kang,89.0,70.856,292.4,59.36,65.26,0.186,-0.182,0.004,2,0,2016,979576,679
1838,Thomas Aiken,70.0,71.326,290.5,72.36,70.2,0.006,0.149,0.156,0,0,2016,347686,268
1839,Tim Wilkinson,72.0,70.704,279.3,62.36,64.71,0.336,0.225,0.561,1,0,2016,708623,426
1840,Tom Hoge,81.0,71.444,289.5,55.81,62.48,-0.069,-0.254,-0.323,2,0,2016,561559,349
1841,Tony Finau,95.0,70.797,312.2,52.48,65.09,-0.108,0.226,0.118,2,1,2016,1814790,1314
1842,Troy Merritt,77.0,71.674,287.2,60.89,63.13,0.244,-0.608,-0.364,1,0,2016,922707,482
1843,Tyler Aldridge,83.0,71.412,285.2,57.95,65.54,-0.129,-0.11,-0.24,0,0,2016,517738,384
1844,Tyrone Van Aswegen,105.0,71.189,288.0,52.91,64.81,-0.078,0.024,-0.054,2,0,2016,1025632,658
1845,Vaughn Taylor,72.0,71.028,287.0,61.59,64.43,-0.424,0.457,0.033,1,1,2016,1640750,1006
1846,Vijay Singh,72.0,71.057,289.8,56.73,62.73,-0.093,0.222,0.128,2,0,2016,1210104,646
1847,Webb Simpson,70.0,70.359,286.3,62.17,67.14,-0.482,1.149,0.667,2,0,2016,1450355,750
1848,Wes Roach,59.0,71.7,294.7,60.99,63.23,0.299,-0.615,-0.316,0,0,2016,342098,241
1849,Whee Kim,82.0,71.472,287.6,63.48,65.74,-0.219,0.01,-0.209,2,0,2016,682662,444
1850,Will MacKenzie,84.0,71.402,285.6,60.81,66.39,-0.479,0.176,-0.304,1,0,2016,416033,317
1851,William McGirt,98.0,70.393,287.6,65.28,67.35,0.36,0.598,0.958,7,1,2016,3614972,432
1852,Willy Wilcox,67.0,71.055,292.9,59.34,63.42,-0.027,-0.062,-0.089,2,0,2016,676841,399
1853,Zac Blair,99.0,71.49,275.3,69.86,62.34,0.195,-0.565,-0.37,2,0,2016,903459,557
1854,Zach Johnson,90.0,70.364,280.1,65.23,64.53,0.395,0.214,0.609,5,0,2016,1718703,1071
1855,Ã?ngel Cabrera,62.0,72.175,294.6,58.06,63.08,-0.352,-0.708,-1.061,0,0,2016,277118,187
1856,Aaron Baddeley,61.0,71.483,292.6,52.25,62.57,0.044,-0.216,-0.172,2,0,2017,755356,325
1857,Adam Hadwin,98.0,70.583,290.7,62.85,64.89,0.47,0.17,0.64,5,1,2017,3455012,362
1858,Adam Scott,58.0,69.996,306.1,55.99,66.87,0.056,1.01,1.066,4,0,2017,1695144,642
1859,Alex Cejka,85.0,71.461,282.1,67.19,66.45,-0.359,-0.093,-0.452,1,0,2017,618171,276
1860,Andres Gonzales,73.0,71.112,299.2,55.75,67.71,0.023,-0.003,0.02,1,0,2017,422078,226
1861,Andrew Loupe,55.0,72.803,311.3,45.93,59.83,-0.242,-1.175,-1.416,1,0,2017,273070,105
1862,Anirban Lahiri,72.0,70.799,297.0,59.82,63.43,-0.336,0.149,-0.186,3,0,2017,1944289,989
1863,Ben Crane,86.0,71.091,278.5,67.97,65.68,-0.155,-0.068,-0.223,1,0,2017,618483,281
1864,Ben Martin,86.0,70.954,291.7,63.67,66.6,-0.044,0.208,0.163,2,0,2017,850319,378
1865,Bill Haas,92.0,70.011,292.3,58.05,67.28,0.005,0.759,0.763,4,0,2017,2842173,1260
1866,Billy Horschel,88.0,70.832,299.5,59.8,68.19,0.165,-0.028,0.138,4,1,2017,2697960,1086
1867,Billy Hurley III,80.0,71.176,276.9,60.57,63.61,0.374,-0.263,0.11,1,0,2017,719579,333
1868,Blayne Barber,77.0,71.163,291.2,61.62,67.61,0.402,-0.389,0.013,1,0,2017,823082,381
1869,Boo Weekley,75.0,71.476,289.9,71.67,68.65,-0.954,0.63,-0.323,1,0,2017,416929,173
